temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,solar_radiation,pollutant_value,precipitation_rate,precipitation_total,place,city,state
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,18.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,17.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,17.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,16.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,15.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,14.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,15.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,14.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,14.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,14.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,13.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,14.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,15.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,15.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,16.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,17.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,17.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,18.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,18.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,19.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,19.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,28.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,28.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,29.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,29.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,29.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,30.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,31.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,32.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,32.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,34.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,35.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,36.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,39.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,39.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,39.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,39.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,39.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,38.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,37.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,35.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,35.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,34.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,33.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,32.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,31.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,29.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,29.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,30.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,29.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,27.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,27.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,17.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,17.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,18.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,18.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,18.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,18.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,19.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,19.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,19.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,,0.0,0.0,,,
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,20.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,21.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,22.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,23.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,27.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,26.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,25.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
,,,,,,,,,,,24.0,0.0,0.0,Kuching,Kuching,Sarawak
